timestamp,frame_id,fps,latency_ms,top1_class,confidence,cpu_usage_percent,memory_usage_mb
1766734351.2267065,286,30.01,0.68,cardboard_boxes,0.2617,8.3,280.0
1766734351.2601347,287,30.01,0.67,clothing,0.4922,14.3,280.0
1766734351.293536,288,30.01,0.7,clothing,0.3945,15.4,280.0
1766734351.3269207,289,30.01,0.66,clothing,0.3438,15.4,280.0
1766734351.3600361,290,30.01,0.67,clothing,0.3359,8.3,280.0
1766734351.393731,291,30.01,0.67,clothing,0.4297,20.0,280.0
1766734351.4285755,292,30.01,0.79,clothing,0.5469,15.4,280.0
1766734351.460263,293,30.01,0.67,clothing,0.5781,8.3,280.0
1766734351.494181,294,30.01,0.67,clothing,0.4609,15.4,280.0
1766734351.5266626,295,30.01,0.67,clothing,0.6641,20.0,280.0
1766734351.5604868,296,30.01,0.67,cardboard_boxes,0.4219,8.3,280.0
1766734351.592991,297,30.01,0.71,cardboard_boxes,0.3867,15.4,280.0
1766734351.6268952,298,30.01,0.67,clothing,0.4883,21.4,280.0
1766734351.6594193,299,30.01,0.68,clothing,0.5273,15.4,280.0
1766734351.6935353,300,30.01,0.75,clothing,0.2852,14.3,280.0
1766734351.727201,301,30.01,0.67,clothing,0.4062,15.4,280.0
1766734351.7602592,302,30.01,0.68,clothing,0.4531,15.4,280.0
1766734351.7939937,303,30.01,0.67,clothing,0.75,8.3,280.0
1766734351.8261127,304,30.01,0.68,clothing,0.6562,8.3,280.0
1766734351.8600597,305,30.01,0.67,clothing,0.5,15.4,280.0
1766734351.892565,306,30.01,0.68,cardboard_boxes,0.4102,8.3,280.0
1766734351.9265594,307,30.01,0.67,clothing,0.3047,20.0,280.0
1766734351.957306,308,30.01,0.7,clothing,0.4688,16.7,280.0
1766734351.9912887,309,30.08,0.67,aluminum_food_cans,0.2656,14.3,280.0
1766734352.0267355,310,30.08,0.68,cardboard_boxes,0.457,25.0,280.0
1766734352.0575945,311,30.08,0.67,aluminum_food_cans,0.3516,9.1,280.0
1766734352.0949738,312,30.08,0.67,aluminum_food_cans,0.2656,7.1,280.0
1766734352.1241918,313,30.08,0.67,clothing,0.3203,9.1,280.0
1766734352.1582134,314,30.08,0.67,cardboard_boxes,0.6094,15.4,280.0
1766734352.1907382,315,30.08,0.67,aluminum_food_cans,0.2383,8.3,280.0
1766734352.2244728,316,30.08,0.67,clothing,0.5898,7.7,280.0
1766734352.2571473,317,30.08,0.7,clothing,0.6445,15.4,280.0
1766734352.290942,318,30.08,0.67,cardboard_boxes,0.2773,14.3,280.0
1766734352.3247793,319,30.08,0.67,clothing,0.4766,15.4,280.0
1766734352.357441,320,30.08,0.71,clothing,0.6016,0.0,280.0
1766734352.3913145,321,30.08,0.67,cardboard_boxes,0.2773,20.0,280.0
1766734352.4239192,322,30.08,0.67,clothing,0.2891,0.0,280.0
1766734352.4577377,323,30.08,0.67,clothing,0.3672,14.3,280.0
1766734352.4904473,324,30.08,0.67,clothing,0.6289,21.4,280.0
1766734352.524147,325,30.08,0.67,disposable_plastic_cutlery,0.4141,0.0,280.0
1766734352.5576422,326,30.08,0.67,clothing,0.7383,15.4,280.0
1766734352.5906909,327,30.08,0.67,clothing,0.4844,15.4,280.0
1766734352.6233444,328,30.08,0.67,clothing,0.4219,14.3,280.0
1766734352.6586761,329,30.08,0.68,clothing,0.4922,14.3,280.0
1766734352.690999,330,30.08,0.66,clothing,0.7148,15.4,280.0
1766734352.7237031,331,30.08,0.67,clothing,0.6172,8.3,280.0
1766734352.759587,332,30.08,0.67,clothing,0.4727,14.3,280.0
1766734352.7902856,333,30.08,0.67,clothing,0.6875,15.4,280.0
1766734352.8239572,334,30.08,0.67,clothing,0.6562,0.0,280.0
1766734352.856675,335,30.08,0.67,cardboard_boxes,0.3242,8.3,280.0
1766734352.890511,336,30.08,0.67,cardboard_boxes,0.3203,20.0,280.0
1766734352.92317,337,30.08,0.67,clothing,0.4648,8.3,280.0
1766734352.957104,338,30.08,0.71,clothing,0.4414,14.3,280.0
1766734352.9910598,339,30.08,0.67,cardboard_boxes,0.3789,14.3,280.0
1766734353.0235803,340,30.03,0.67,cardboard_boxes,0.2539,8.3,280.0
1766734353.0572753,341,30.03,0.7,clothing,0.3633,15.4,280.0
1766734353.0900607,342,30.03,0.68,clothing,0.4258,21.4,280.0
1766734353.123779,343,30.03,0.67,cardboard_boxes,0.4336,0.0,280.0
1766734353.1564436,344,30.03,0.67,cardboard_boxes,0.3594,21.4,280.0
1766734353.1903598,345,30.03,0.68,cardboard_boxes,0.3203,14.3,280.0
1766734353.2232742,346,30.03,0.67,clothing,0.2734,15.4,280.0
1766734353.2567964,347,30.03,0.67,clothing,0.4219,8.3,280.0
1766734353.290684,348,30.03,0.67,cardboard_boxes,0.3906,14.3,280.0
1766734353.3232844,349,30.03,0.67,clothing,0.4922,8.3,280.0
1766734353.3571799,350,30.03,0.73,clothing,0.5078,14.3,280.0
1766734353.3897798,351,30.03,0.67,clothing,0.7344,15.4,280.0
1766734353.423577,352,30.03,0.68,clothing,0.4375,20.0,280.0
1766734353.456222,353,30.03,0.67,clothing,0.4727,8.3,280.0
1766734353.490104,354,30.03,0.67,cardboard_boxes,0.4375,8.3,280.0
1766734353.522999,355,30.03,0.67,cardboard_boxes,0.3828,7.7,280.0
1766734353.5564873,356,30.03,0.67,clothing,0.3008,15.4,280.0
1766734353.5904706,357,30.03,0.66,cardboard_boxes,0.3359,14.3,280.0
1766734353.6231852,358,30.03,0.66,aluminum_food_cans,0.2969,15.4,280.0
1766734353.656907,359,30.03,0.7,clothing,0.3789,14.3,280.0
1766734353.6895075,360,30.03,0.71,cardboard_boxes,0.3086,8.3,280.0
1766734353.7233398,361,30.03,0.67,cardboard_boxes,0.4961,15.4,280.0
